Customer_Name,Quantity,Total_Retail_Price,Product_Name,Supplier
Dianne Patchin,3,$73.80,Mm Daypouch Shoulder Bag,US 2963
Robert Bowerman,1,$19.00,Stars Swim Suit,US 2963
Elke Wallstab,2,$78.20,Cnv Plus Men's Off Court Tennis,US 1303
Sandrina Stephano,2,$126.80,Atmosphere Imara Women's Running Shoes,US 1303
Cynthia Mccluney,1,$58.70,Atmosphere Shatter Mid Shoes,US 1303
Cynthia Martinez,1,$50.30,Big Guy Men's Multicourt Ii Shoes,US 1303
Cynthia Mccluney,1,$56.30,Woman's Air Amend Mid,US 1303
Cynthia Martinez,1,$63.50,Woman's Air Imara,US 1303
Cynthia Mccluney,1,$90.00,Dubby Low Men's Street Shoes,SE 109
Karen Ballinger,3,$199.20,Lulu Men's Street Shoes,SE 109
Cynthia Martinez,1,$57.30,Pro Fit Gel Ds Trainer Women's Running Shoes,US 1747
Robert Bowerman,1,$101.50,Soft Alta Plus Women's Indoor Shoes,US 1747
Cynthia Martinez,2,$120.40,Soft Astro Men's Running Shoes,US 1747
Cynthia Martinez,2,$277.60,Twain Women's Exit Iii Mid Cd X-Hiking Shoes,US 13198
Cynthia Martinez,1,$172.50,Mns.raptor Precision Sg Football,US 2963
Karen Ballinger,3,$256.20,Hardcore Junior/Women's Street Shoes Large,GB 14682
Sandrina Stephano,2,$446.60,Jaguar 50-75 Liter Blue Women's Backpack,AU 10692
Karen Ballinger,1,$12.20,Breaker Commandos Cap,DK 4793
Dianne Patchin,1,$40.20,Breaker Frozen Husky Hat,DK 4793
Patricia Bertolozzi,1,$3.20,"Backpack Flag, 6,5x9 Cm.",GB 316
Robert Bowerman,2,$6.40,"Backpack Flag, 6,5x9 Cm.",GB 316
Cynthia Martinez,2,$16.00,Knife,US 4718
Karen Ballinger,2,$252.20,Lucky Tech Intergal Wp/B Rain Pants,US 772
Cynthia Martinez,2,$195.00,Mayday Qd Zip Pants,US 4646
Karen Ballinger,4,$471.20,Mayday Sports Pullover,US 4646
Karen Ballinger,1,$35.50,Rain Jacket,US 772
Wendell Summersby,1,$17.60,"Sheet Sleeping Bag, Red",GB 16422
Dianne Patchin,1,$78.20,"Expedition Zero,Medium,Left,Charcoal",DK 755
Selim Okay,3,$355.80,"Expedition 20,Large,Right,Forestgreen",DK 755
Alvan Goheen,1,$86.30,"Outback Sleeping Bag, Large,Left,Blue/Black",DK 755
Bulent Urfalioglu,1,$86.30,"Outback Sleeping Bag, Large,Left,Blue/Black",DK 755
Avni Umran,1,$519.30,Family Holiday 4,SE 109
Raedene Van Den Berg,2,$239.00,Buzz Saw,CA 16814
Sandrina Stephano,1,$31.40,A-team Smoothsport Bra,US 3298
Raedene Van Den Berg,1,$31.40,A-team Smoothsport Bra,US 3298
Sanelisiwe Collier,3,$9.60,Dartsharpener Key ring,GB 4514
Raedene Van Den Berg,3,$54.30,Hot Mini Backboard Bulls,NL 2995
Robert Bowerman,1,$29.90,Mk Splinter 66 5m 88a Pea.,PT 1684
Cynthia Martinez,1,$22.70,Prosoccer  Club Football 4/32 (Replica) Synth,US 5810
Kyndal Hooks,1,$16.40,Shoeshine Black,CA 16814
Wendell Summersby,2,$29.40,Sparkle Spray Orange,CA 16814
Raedene Van Den Berg,3,$144.60,Fred T-Shirt,ES 4742
Raedene Van Den Berg,2,$25.80,Goodtime Toilet Bag,ES 4742
Cynthia Martinez,1,$41.50,Pool Shorts,ES 4742
Cynthia Mccluney,2,$91.60,Saturn Big Bag,ES 4742
Alvan Goheen,2,$403.00,Shirt Termir,ES 4742
Alvan Goheen,5,$239.50,Wyoming Men's T-Shirt with V-Neck,ES 4742
Robert Bowerman,1,$35.20,Aim4it 80% Tungsten 22 Gram,GB 4514
Rita Lotz,1,$102.40,Children's Roller Skates,PT 1684
Robert Bowerman,2,$656.60,Perfect Fit Men's Stunt Skates,US 13198
Raedene Van Den Berg,1,$37.40,Pro-roll Hot Rod Roller Skates,PT 1684
Rita Lotz,1,$113.20,Pro-roll Lazer Roller Skates,PT 1684
Sanelisiwe Collier,1,$222.00,Proskater Kitalpha Gamma Roller Skates,US 3815
Raedene Van Den Berg,2,$219.00,Proskater Viablade S Roller Skates,US 3815
Robert Bowerman,2,$129.00,Proskater W-500 Jr.Roller Skates,US 3815
Wynella Lewis,1,$251.80,Rollerskate  Roller Skates Ex9 76mm/78a Biofl,PT 1684
Raedene Van Den Berg,3,$755.40,Rollerskate  Roller Skates Ex9 76mm/78a Biofl,PT 1684
Wynella Lewis,1,$114.20,Rollerskate Roller Skates Sq5 76mm/78a,PT 1684
Kyndal Hooks,1,$192.40,Rollerskate Roller Skates Sq7-Ls 76mm/78a,PT 1684
Roy Siferd,2,$24.40,Bb Softspikes - Xp 22-pack,GB 15938
Wendell Summersby,2,$36.20,"Bretagne Soft-Tech Men's Glove, left",NL 2995
Roy Siferd,1,$13.50,"Bretagne St2 Men's Golf Glove, left",NL 2995
Angel Borwick,2,$201.20,Bretagne Stabilities Tg Men's Golf Shoes,NL 2995
David Black,1,$87.20,Bretagne Stabilities Women's Golf Shoes,NL 2995
Lauren Krasowski,2,$174.40,Bretagne Stabilities Women's Golf Shoes,NL 2995
Susan Krasowski,4,$168.00,Carolina II,US 3808
Portia Reynoso,2,$16.60,Extreme Distance 90 3-pack,US 3808
Lera Knott,1,$14.60,Grandslam Staff Grip Llh Golf Gloves,US 3808
Angel Borwick,3,$658.50,Hi-fly Intimidator Ti R80/10,NL 2995
Portia Reynoso,4,$702.00,Hi-fly Intrepid Stand 8  Black,NL 2995
Soberina Berent,2,$706.20,Normal Standard,GB 15938
Wilma Yeargan,4,"$1,937.20",Proplay Executive Bi-Metal Graphite,NL 2995
Angel Borwick,2,$215.80,Proplay Stand Black,NL 2995
Susan Krasowski,1,$121.00,Proplay Women's Tour Force 7w,NL 2995
Robert Bowerman,2,$306.20,Rubby Men's Golf Shoes w/Goretex,ES 4168
Lera Knott,2,$29.40,Score Counter Scoreboard De Luxe,NL 2995
Wilma Yeargan,1,$150.10,Big Boss Houston Pants,US 7511
Duncan Robertshawe,1,$147.10,Eagle Windstopper Sweat Neck,US 10225
Lauren Krasowski,1,$107.30,Top (1/100),US 7511
Dericka Pockran,2,$362.60,Wind Proof Windstopper Merino/Acryl,US 10225
Robert Bowerman,1,$72.60,Abdomen Shaper,NL 16542
Karen Ballinger,2,"$1,066.40",Letour Heart Bike,NL 16542
Wendell Summersby,1,$19.90,Wrist Weight  2.25 Kg,NL 16542
Karen Ballinger,1,$321.50,Top Men's Goretex Ski Pants,US 14648
Ines Deisser,2,$351.40,Sledgehammer 120 Ph Black,GB 17832
Robert Bowerman,1,$19.10,Smasher Shorts,GB 1280
Robert Bowerman,1,$19.10,Smasher Shorts,GB 1280
Lendon Celii,3,$160.50,"A-team Sweat Round Neck, Small Logo",US 3298
Karolina Dokter,2,$258.20,Triffy Jacket,NL 13314
Kyndal Hooks,2,$110.20,Ypsilon Men's Sweatshirt w/Piping,FR 14624
Kyndal Hooks,2,$47.60,Men's Singlet,BE 5922
Karen Ballinger,3,$95.10,T-Shirt,US 2963
Karolina Dokter,2,$81.20,Bike.Pants Short Biking Pants,BE 5922
Cynthia Mccluney,3,$403.50,Force Micro Men's Suit,BE 5922
Cynthia Mccluney,2,$78.40,Force Short Sprinter Men's Tights,BE 5922
Wynella Lewis,2,$134.60,Force Technical Jacket w/Coolmax,BE 5922
Karolina Dokter,3,$358.20,Polar Jacket,BE 5922
Karen Ballinger,2,$48.20,Stout Running Shorts Micro,BE 5922
Ramesh Trentholme,2,$60.80,Sharky Swimming Trunks,US 16292
Robyn Klem,1,$46.10,Sunfit Luffa Bikini,US 6153
Robyn Klem,2,$70.20,Pew Swimming Trunks,ES 4742
Dianne Patchin,5,$118.00,Armour L,US 3298
Karen Ballinger,3,$79.80,Armour XL,US 3298
Dianne Patchin,2,$45.70,Football - Helmet M,US 3298
Dianne Patchin,2,$19.98,Football Super Bowl,US 3808
Dianne Patchin,2,$56.00,Bat - Home Run M,US 15218
Karen Ballinger,3,$80.70,Bat - Home Run S,US 15218
Wynella Lewis,4,$75.20,Helmet L,US 15218
Lendon Celii,1,$16.90,Helmet M,US 15218
Karen Ballinger,1,$21.99,Basket Ball Pro,US 10225
Annmarie Leveille,2,$24.80,Red Cap,GB 6071
Robyn Klem,1,$46.90,Fga Home Shorts,US 14593
Cynthia Mccluney,3,$140.70,Fga Home Shorts,US 14593
Dianne Patchin,2,$126.00,Soccer Fan Football Player Shirt,GB 6071
Cynthia Martinez,3,$760.80,Helmsdale Ski Pants,US 772
Cynthia Mccluney,2,$174.40,Amber Cc,CA 16814
Robyn Klem,2,$195.60,Cayenne Red,CA 16814
Wynella Lewis,6,$160.80,Shine Black PRO,CA 16814
