Employee_ID,First_Name,Last_Name,Gender,Salary,Job_Title,Country,Birth_Date,Hire_Date
121059,Jacqulin,Carhide,F,27425,Sales Rep. II,US,-68,7761
121060,Elizabeth,Spofford,F,28800,Sales Rep. III,US,-5685,5114
121061,Lauris,Hassam,M,29815,Sales Rep. III,US,-1995,8948
121062,Debra,Armant,F,30305,Sales Rep. IV,US,9067,17014
121063,Regi,Kinol,M,35990,Sales Rep. II,US,7147,16649
121064,Asishana,Polky,M,25110,Sales Rep. I,US,1488,11566
121065,Corneille,Malta,F,28040,Sales Rep. III,US,9014,16892
121066,Ceresh,Norman,F,27250,Sales Rep. II,US,-5609,5114
121067,Jeanilla,Macnair,F,31865,Sales Rep. IV,US,9514,16861
121068,Salaheloin,Osuba,M,27550,Sales Rep. II,US,3623,11932
121069,Jason,Lapsley,M,26195,Sales Rep. II,US,3365,11231
121070,Agnieszka,Holthouse,F,29385,Sales Rep. III,US,9074,16833
121071,John,Hoppmann,M,28625,Sales Rep. III,US,-113,6453
121072,Christer,North,M,26105,Sales Rep. I,US,6949,16315
121073,Donald,Court,M,27100,Sales Rep. I,US,-3883,5114
121074,Eric,Michonski,M,26990,Sales Rep. I,US,-306,10501
121075,Kasha,Sugg,F,28395,Sales Rep. II,US,-5487,5114
121076,Micah,Cobb,M,26685,Sales Rep. II,US,1743,8401
121077,Bryce,Smotherly,M,28585,Sales Rep. III,US,9014,17075
121078,Lionel,Wende,M,27485,Sales Rep. I,US,-3897,6879
121079,Azmi,Mees,M,25770,Sales Rep. I,US,5267,13819
121080,Kumar,Chinnis,M,32235,Sales Rep. I,US,-342,10105
121081,Susie,Knudson,F,30235,Sales Rep. III,US,-3931,5935
121082,Richard,Debank,M,28510,Sales Rep. III,US,-3832,6483
121083,Tingmei,Sutton,F,27245,Sales Rep. I,US,-296,6999
121084,Tulsidas,Ould,M,22710,Sales Rep. I,US,1689,11323
121085,Rebecca,Huslage,M,32235,Sales Rep. IV,US,9812,17167
121086,John-Michael,Plybon,M,26820,Sales Rep. I,US,-5494,5114
121087,Virtina,O'Suilleabhain,F,28325,Sales Rep. II,US,5454,14304
121088,Momolu,Kernitzki,M,27240,Sales Rep. I,US,10388,17167
121089,Gregory,Sauder,M,28095,Sales Rep. II,US,-1959,5295
121090,Betty,Klibbe,F,26600,Sales Rep. I,US,-2022,7336
121091,Ernest,Kadiri,M,27325,Sales Rep. II,US,3337,10593
121092,Gynell,Pritt,F,25680,Sales Rep. I,US,5180,15553
121093,Carl,Vasconcellos,M,27410,Sales Rep. I,US,1660,12419
121094,Larry,Tate,M,26555,Sales Rep. I,US,-2185,6818
121095,Sara,Kratzke,F,28010,Sales Rep. II,US,3391,11504
121096,Robert,Newstead,M,26335,Sales Rep. I,US,3425,12904
121097,Willeta,Chernega,F,26830,Sales Rep. II,US,5409,13057
121098,Hal,Heatwole,M,27475,Sales Rep. I,US,10308,16922
121099,Royall,Mrvichin,M,32725,Sales Rep. IV,US,7017,14731
121100,Tzue-Ing,Cormell,M,28135,Sales Rep. II,US,-3901,5935
121101,Burnetta,Buckner,F,25390,Sales Rep. I,US,9736,17106
121102,Rocheal,Flammia,F,27115,Sales Rep. I,US,7116,16953
121103,Brian,Farnsworth,M,27260,Sales Rep. I,US,10345,17045
121104,Leoma,Johnson,F,28315,Sales Rep. II,US,1777,9587
121105,Jessica,Savacool,F,29545,Sales Rep. III,US,7068,15706
121106,James,Hilburger,M,25880,Sales Rep. I,US,3320,13180
121107,Rose,Anger,F,31380,Sales Rep. IV,US,9610,16983
121108,Libby,Levi,F,25930,Sales Rep. I,US,10412,17106
121109,Harold,Boulus,M,26035,Sales Rep. I,US,3596,11078
121135,Tammy,Ruta,F,27010,Sales Rep. I,US,-2034,5326
121136,Lesia,Galarneau,F,27460,Sales Rep. I,US,5309,15675
121137,Michael. R.,Boocks,M,27055,Sales Rep. I,US,10244,16892
121138,Hershell,Tolley,M,27265,Sales Rep. I,US,-3959,5114
121139,Diosdado,Mckee,F,27700,Sales Rep. II,US,-135,10043
121140,Saunders,Briggi,M,26335,Sales Rep. I,US,6962,15066
121143,Louis,Favaron,M,95090,Senior Sales Manager,US,3617,13696
121144,Renee,Capachietti,F,83505,Sales Manager,US,1640,11627
121145,Dennis,Lansberry,M,84260,Sales Manager,US,-3692,5935
